Timestamps,AWS/EC2 NetworkIn,AWS/EC2 NetworkOut,System/Linux MemoryUtilization,AWS/EC2 CPUUtilization
2019-10-04 21:25:00+00:00,3034.0,4761.0,0,0.0
2019-10-04 21:30:00+00:00,3034.0,2117.0,0,0.169491525424345
2019-10-04 21:35:00+00:00,3198.0,2365.0,0,0.0
2019-10-04 21:40:00+00:00,3034.0,9317.0,0,0.169491525422804
2019-10-04 21:45:00+00:00,3090.0,9317.0,0,0.166666666667273
2019-10-04 21:50:00+00:00,3088.0,2117.0,0,0.166666666667273
2019-10-04 21:55:00+00:00,3034.0,2117.0,0,0.0
2019-10-04 22:00:00+00:00,3811.0,8157.0,0,0.166666666665757
2019-10-04 22:05:00+00:00,3490.0,8157.0,0,0.166666666667273
2019-10-04 22:10:00+00:00,2780.0,10706.0,0,0.0
2019-10-04 22:15:00+00:00,519592.0,8185.0,0,0.33333333333303
2019-10-04 22:20:00+00:00,3092.0,7093.0,0,0.169491525424345
2019-10-04 22:25:00+00:00,2258.0,9317.0,0,0.0
2019-10-04 22:30:00+00:00,2258.0,8185.0,0,0.166666666665757
2019-10-04 22:35:00+00:00,3490.0,2635.0,0,0.0
2019-10-04 22:40:00+00:00,3034.0,2233.0,0,0.166666666667273
2019-10-04 22:45:00+00:00,3034.0,2233.0,0,0.0
2019-10-04 22:50:00+00:00,3090.0,2353.0,0,0.169491525422804
2019-10-04 22:55:00+00:00,2258.0,9369.0,0,0.166666666667273
2019-10-04 23:00:00+00:00,17242.0,8949.0,0,0.0
2019-10-04 23:05:00+00:00,3034.0,2165.0,0,0.166666666667273
2019-10-04 23:10:00+00:00,2314.0,8157.0,0,0.163934426228614
2019-10-04 23:15:00+00:00,3090.0,2145.0,0,0.0
2019-10-04 23:20:00+00:00,3034.0,2117.0,0,0.163934426230105
2019-10-04 23:25:00+00:00,3022.0,8157.0,0,0.166666666665757
2019-10-04 23:30:00+00:00,3034.0,2117.0,0,0.0
2019-10-04 23:35:00+00:00,2258.0,8185.0,0,0.163934426230105
2019-10-04 23:40:00+00:00,3166.0,9289.0,0,0.0
2019-10-04 23:45:00+00:00,2258.0,10449.0,0,0.166666666667273
2019-10-04 23:50:00+00:00,3034.0,7025.0,0,0.166666666665757
2019-10-04 23:55:00+00:00,4031.0,3558.0,0,0.0
2019-10-05 00:00:00+00:00,3034.0,2165.0,0,0.166666666667273
2019-10-05 00:05:00+00:00,3546.0,2547.0,0,0.166666666665757
2019-10-05 00:10:00+00:00,3034.0,9317.0,0,0.0
2019-10-05 00:15:00+00:00,3090.0,2197.0,0,0.166666666667273
2019-10-05 00:20:00+00:00,3034.0,7025.0,0,0.166666666667273
2019-10-05 00:25:00+00:00,2258.0,9317.0,0,0.0
2019-10-05 00:30:00+00:00,4744.0,6758.0,0,0.166666666665757
2019-10-05 00:35:00+00:00,3546.0,9317.0,0,0.169491525424345
2019-10-05 00:40:00+00:00,2736.0,7337.0,0,0.0
2019-10-05 00:45:00+00:00,2280.0,8157.0,0,0.166666666665757
2019-10-05 00:50:00+00:00,3034.0,7105.0,0,0.0
2019-10-05 00:55:00+00:00,3034.0,2233.0,0,0.166666666667273
2019-10-05 01:00:00+00:00,942.0,8157.0,0,0.0
2019-10-05 01:05:00+00:00,568.0,458.0,0,0.166666666667273
2019-10-05 01:10:00+00:00,56.0,28.0,0,0.0
2019-10-05 01:15:00+00:00,166.0,96.0,0,0.166666666665757
2019-10-05 01:20:00+00:00,56.0,28.0,0,0.0
2019-10-05 01:25:00+00:00,56.0,28.0,0,0.0
2019-10-05 01:30:00+00:00,166.0,96.0,0,0.0
2019-10-05 01:35:00+00:00,1641.0,2193.0,0,0.166666666667273
2019-10-05 01:40:00+00:00,228.0,104.0,0,0.0
2019-10-05 01:45:00+00:00,56.0,28.0,0,0.166666666665757
2019-10-05 01:50:00+00:00,56.0,84.0,0,0.0
2019-10-05 01:55:00+00:00,2128.0,2733.0,0,0.163934426230105
2019-10-05 02:00:00+00:00,938.0,483.0,0,0.0
2019-10-05 02:05:00+00:00,568.0,458.0,0,0.0
2019-10-05 02:10:00+00:00,56.0,28.0,0,0.169491525424345
2019-10-05 02:15:00+00:00,56.0,28.0,0,0.0
2019-10-05 02:20:00+00:00,56.0,28.0,0,0.0
2019-10-05 02:25:00+00:00,56.0,28.0,0,0.169491525422804
2019-10-05 02:30:00+00:00,166.0,96.0,0,0.0
2019-10-05 02:35:00+00:00,568.0,458.0,0,0.0
2019-10-05 02:40:00+00:00,56.0,28.0,0,0.166666666667273
2019-10-05 02:45:00+00:00,5110.0,4614.0,0,0.0
2019-10-05 02:50:00+00:00,16513.0,7390.0,0,0.166666666665757
2019-10-05 02:55:00+00:00,1569.0,2165.0,0,0.0
2019-10-05 03:00:00+00:00,938.0,483.0,0,0.166666666667273
2019-10-05 03:05:00+00:00,1618.0,5893.0,0,0.0
2019-10-05 03:10:00+00:00,610.0,28.0,0,0.163934426230105
2019-10-05 03:15:00+00:00,166.0,96.0,0,0.0
2019-10-05 03:20:00+00:00,2106505.0,8090.0,0,10.8333333333333
2019-10-05 03:25:00+00:00,166.0,96.0,0,0.0
2019-10-05 03:30:00+00:00,56.0,28.0,0,0.166666666665757
2019-10-05 03:35:00+00:00,568.0,458.0,0,0.0
2019-10-05 03:40:00+00:00,56.0,28.0,0,0.0
2019-10-05 03:45:00+00:00,1679.0,1933.0,0,0.166666666667273
2019-10-05 03:50:00+00:00,56.0,84.0,0,0.0
2019-10-05 03:55:00+00:00,56.0,28.0,0,0.0
2019-10-05 04:00:00+00:00,938.0,483.0,0,0.169491525422804
2019-10-05 04:05:00+00:00,568.0,458.0,0,0.0
2019-10-05 04:10:00+00:00,110.0,68.0,0,0.166666666667273
2019-10-05 04:15:00+00:00,370.0,285.0,0,0.0
2019-10-05 04:20:00+00:00,56.0,28.0,0,0.0
2019-10-05 04:25:00+00:00,56.0,28.0,0,0.169491525424345
2019-10-05 04:30:00+00:00,170.0,96.0,0,0.0
2019-10-05 04:35:00+00:00,568.0,458.0,0,0.0
2019-10-05 04:40:00+00:00,6292.0,4942.0,0,0.166666666665757
2019-10-05 04:45:00+00:00,166.0,264.0,0,0.0
2019-10-05 04:50:00+00:00,56.0,28.0,0,0.169491525424345
2019-10-05 04:55:00+00:00,166.0,96.0,0,0.0
2019-10-05 05:00:00+00:00,1569.0,2165.0,0,0.166666666665757
2019-10-05 05:05:00+00:00,2081.0,2595.0,0,0.0
2019-10-05 05:10:00+00:00,56.0,28.0,0,0.163934426230105
2019-10-05 05:15:00+00:00,1569.0,2165.0,0,0.0
2019-10-05 05:20:00+00:00,56.0,28.0,0,0.163934426230105
2019-10-05 05:25:00+00:00,56.0,28.0,0,0.0
2019-10-05 05:30:00+00:00,56.0,28.0,0,0.0
2019-10-05 05:35:00+00:00,568.0,458.0,0,0.166666666665757
2019-10-05 05:40:00+00:00,112.0,68.0,0,0.0
2019-10-05 05:45:00+00:00,56.0,28.0,0,0.0
2019-10-05 05:50:00+00:00,1585.0,2165.0,0,0.166666666667273
2019-10-05 05:55:00+00:00,346.0,193.0,0,0.0
2019-10-05 06:00:00+00:00,1569.0,2165.0,0,0.166666666665757
2019-10-05 06:05:00+00:00,568.0,458.0,0,0.0
2019-10-05 06:10:00+00:00,1569.0,2165.0,0,0.169491525424345
2019-10-05 06:15:00+00:00,56.0,28.0,0,0.0
2019-10-05 06:20:00+00:00,361.0,348.0,0,1.80327868852519
2019-10-05 06:25:00+00:00,56.0,28.0,0,0.163934426228614
2019-10-05 06:30:00+00:00,56.0,28.0,0,0.0
2019-10-05 06:35:00+00:00,568.0,458.0,0,8.36065573770551
2019-10-05 06:40:00+00:00,4556.0,5774.0,0,0.169491525422804
2019-10-05 06:45:00+00:00,2748.0,5765.0,0,0.163934426230105
2019-10-05 06:50:00+00:00,56.0,84.0,0,0.0
2019-10-05 06:55:00+00:00,56.0,28.0,0,0.0
2019-10-05 07:00:00+00:00,938.0,483.0,0,0.166666666667273
